Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02111","Cattle","2020","2020","1000 USD","4900","A","Official figure",""
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02151","Chickens","2020","2020","1000 USD","1472","A","Official figure",""
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02123","Goats","2020","2020","1000 USD","2057","A","Official figure",""
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02199.10","Other live animals non food, n.e.c.","2020","2020","1000 USD","20","A","Official figure",""
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02140","Swine / pigs","2020","2020","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","834","United Republic of Tanzania","5922","Export value","02152","Turkeys","2020","2020","1000 USD","30","A","Official figure",""
